observation_date	CPILFESL_PC1_19961212	CPILFESL_PC1_19970114	CPILFESL_PC1_19970219	CPILFESL_PC1_19970319	CPILFESL_PC1_19970415	CPILFESL_PC1_19970515	CPILFESL_PC1_19970617	CPILFESL_PC1_19970716	CPILFESL_PC1_19970814	CPILFESL_PC1_19970916	CPILFESL_PC1_19971016	CPILFESL_PC1_19971118	CPILFESL_PC1_19971216	CPILFESL_PC1_19980113	CPILFESL_PC1_19980224	CPILFESL_PC1_19980319	CPILFESL_PC1_19980414	CPILFESL_PC1_19980514	CPILFESL_PC1_19980616	CPILFESL_PC1_19980714	CPILFESL_PC1_19980818	CPILFESL_PC1_19980917	CPILFESL_PC1_19981016	CPILFESL_PC1_19981117	CPILFESL_PC1_19981215	CPILFESL_PC1_19990114	CPILFESL_PC1_19990219	CPILFESL_PC1_19990318	CPILFESL_PC1_19990413	CPILFESL_PC1_19990514	CPILFESL_PC1_19990616	CPILFESL_PC1_19990715	CPILFESL_PC1_19990817	CPILFESL_PC1_19990915	CPILFESL_PC1_19991019	CPILFESL_PC1_19991117	CPILFESL_PC1_19991214	CPILFESL_PC1_20000114	CPILFESL_PC1_20000218	CPILFESL_PC1_20000317	CPILFESL_PC1_20000414	CPILFESL_PC1_20000516	CPILFESL_PC1_20000614	CPILFESL_PC1_20000718	CPILFESL_PC1_20000816	CPILFESL_PC1_20000915	CPILFESL_PC1_20000928	CPILFESL_PC1_20001018	CPILFESL_PC1_20001116	CPILFESL_PC1_20001215	CPILFESL_PC1_20010117	CPILFESL_PC1_20010221	CPILFESL_PC1_20010321	CPILFESL_PC1_20010417	CPILFESL_PC1_20010516	CPILFESL_PC1_20010615	CPILFESL_PC1_20010718	CPILFESL_PC1_20010816	CPILFESL_PC1_20010918	CPILFESL_PC1_20011019	CPILFESL_PC1_20011116	CPILFESL_PC1_20011214	CPILFESL_PC1_20020116	CPILFESL_PC1_20020220	CPILFESL_PC1_20020321	CPILFESL_PC1_20020416	CPILFESL_PC1_20020515	CPILFESL_PC1_20020618	CPILFESL_PC1_20020719	CPILFESL_PC1_20020816	CPILFESL_PC1_20020918	CPILFESL_PC1_20021018	CPILFESL_PC1_20021119	CPILFESL_PC1_20021217	CPILFESL_PC1_20030116	CPILFESL_PC1_20030221	CPILFESL_PC1_20030321	CPILFESL_PC1_20030416	CPILFESL_PC1_20030516	CPILFESL_PC1_20030617	CPILFESL_PC1_20030716	CPILFESL_PC1_20030815	CPILFESL_PC1_20030916	CPILFESL_PC1_20031016	CPILFESL_PC1_20031118	CPILFESL_PC1_20031216	CPILFESL_PC1_20040115	CPILFESL_PC1_20040220	CPILFESL_PC1_20040317	CPILFESL_PC1_20040414	CPILFESL_PC1_20040514	CPILFESL_PC1_20040615	CPILFESL_PC1_20040716	CPILFESL_PC1_20040817	CPILFESL_PC1_20040916	CPILFESL_PC1_20041019	CPILFESL_PC1_20041117	CPILFESL_PC1_20041217	CPILFESL_PC1_20050119	CPILFESL_PC1_20050218	CPILFESL_PC1_20050223	CPILFESL_PC1_20050323	CPILFESL_PC1_20050420	CPILFESL_PC1_20050518	CPILFESL_PC1_20050615	CPILFESL_PC1_20050714	CPILFESL_PC1_20050816	CPILFESL_PC1_20050915	CPILFESL_PC1_20051014	CPILFESL_PC1_20051116	CPILFESL_PC1_20051215	CPILFESL_PC1_20060118	CPILFESL_PC1_20060217	CPILFESL_PC1_20060222	CPILFESL_PC1_20060316	CPILFESL_PC1_20060419	CPILFESL_PC1_20060517	CPILFESL_PC1_20060614	CPILFESL_PC1_20060719	CPILFESL_PC1_20060816	CPILFESL_PC1_20060915	CPILFESL_PC1_20061018	CPILFESL_PC1_20061116	CPILFESL_PC1_20061215	CPILFESL_PC1_20070118	CPILFESL_PC1_20070216	CPILFESL_PC1_20070221	CPILFESL_PC1_20070316	CPILFESL_PC1_20070417	CPILFESL_PC1_20070515	CPILFESL_PC1_20070615	CPILFESL_PC1_20070718	CPILFESL_PC1_20070815	CPILFESL_PC1_20070919	CPILFESL_PC1_20071017	CPILFESL_PC1_20071115	CPILFESL_PC1_20071214	CPILFESL_PC1_20080116	CPILFESL_PC1_20080215	CPILFESL_PC1_20080220	CPILFESL_PC1_20080314	CPILFESL_PC1_20080416	CPILFESL_PC1_20080514	CPILFESL_PC1_20080613	CPILFESL_PC1_20080716	CPILFESL_PC1_20080814	CPILFESL_PC1_20080916	CPILFESL_PC1_20081016	CPILFESL_PC1_20081119	CPILFESL_PC1_20081216	CPILFESL_PC1_20090116	CPILFESL_PC1_20090218	CPILFESL_PC1_20090220	CPILFESL_PC1_20090318	CPILFESL_PC1_20090415	CPILFESL_PC1_20090515	CPILFESL_PC1_20090617	CPILFESL_PC1_20090715	CPILFESL_PC1_20090814	CPILFESL_PC1_20090916	CPILFESL_PC1_20091015	CPILFESL_PC1_20091118	CPILFESL_PC1_20091216	CPILFESL_PC1_20100115	CPILFESL_PC1_20100217	CPILFESL_PC1_20100219	CPILFESL_PC1_20100318	CPILFESL_PC1_20100414	CPILFESL_PC1_20100519	CPILFESL_PC1_20100617	CPILFESL_PC1_20100716	CPILFESL_PC1_20100813	CPILFESL_PC1_20100917	CPILFESL_PC1_20101015	CPILFESL_PC1_20101117	CPILFESL_PC1_20101215	CPILFESL_PC1_20110114	CPILFESL_PC1_20110215	CPILFESL_PC1_20110217	CPILFESL_PC1_20110317	CPILFESL_PC1_20110415	CPILFESL_PC1_20110513	CPILFESL_PC1_20110615	CPILFESL_PC1_20110715	CPILFESL_PC1_20110818	CPILFESL_PC1_20110915	CPILFESL_PC1_20111019	CPILFESL_PC1_20111116	CPILFESL_PC1_20111216	CPILFESL_PC1_20120119	CPILFESL_PC1_20120215	CPILFESL_PC1_20120217	CPILFESL_PC1_20120316	CPILFESL_PC1_20120413	CPILFESL_PC1_20120515	CPILFESL_PC1_20120614	CPILFESL_PC1_20120717	CPILFESL_PC1_20120815	CPILFESL_PC1_20120914	CPILFESL_PC1_20121016	CPILFESL_PC1_20121115	CPILFESL_PC1_20121214	CPILFESL_PC1_20130116	CPILFESL_PC1_20130219	CPILFESL_PC1_20130221	CPILFESL_PC1_20130315	CPILFESL_PC1_20130416	CPILFESL_PC1_20130516	CPILFESL_PC1_20130618	CPILFESL_PC1_20130716	CPILFESL_PC1_20130815	CPILFESL_PC1_20130917	CPILFESL_PC1_20131030	CPILFESL_PC1_20131120	CPILFESL_PC1_20131217	CPILFESL_PC1_20140116	CPILFESL_PC1_20140218	CPILFESL_PC1_20140220	CPILFESL_PC1_20140318	CPILFESL_PC1_20140415	CPILFESL_PC1_20140515	CPILFESL_PC1_20140617	CPILFESL_PC1_20140722	CPILFESL_PC1_20140819	CPILFESL_PC1_20140917	CPILFESL_PC1_20141022	CPILFESL_PC1_20141120	CPILFESL_PC1_20141217	CPILFESL_PC1_20150116	CPILFESL_PC1_20150220	CPILFESL_PC1_20150226	CPILFESL_PC1_20150324	CPILFESL_PC1_20150417	CPILFESL_PC1_20150522	CPILFESL_PC1_20150618	CPILFESL_PC1_20150717	CPILFESL_PC1_20150819	CPILFESL_PC1_20150916	CPILFESL_PC1_20151015	CPILFESL_PC1_20151117	CPILFESL_PC1_20151215	CPILFESL_PC1_20160120	CPILFESL_PC1_20160219	CPILFESL_PC1_20160316	CPILFESL_PC1_20160414	CPILFESL_PC1_20160517	CPILFESL_PC1_20160616	CPILFESL_PC1_20160715	CPILFESL_PC1_20160816	CPILFESL_PC1_20160916	CPILFESL_PC1_20161018	CPILFESL_PC1_20161117	CPILFESL_PC1_20161215	CPILFESL_PC1_20170118	CPILFESL_PC1_20170213	CPILFESL_PC1_20170215	CPILFESL_PC1_20170315	CPILFESL_PC1_20170414	CPILFESL_PC1_20170512	CPILFESL_PC1_20170614	CPILFESL_PC1_20170714	CPILFESL_PC1_20170811	CPILFESL_PC1_20170914	CPILFESL_PC1_20171013	CPILFESL_PC1_20171115	CPILFESL_PC1_20171213	CPILFESL_PC1_20180112	CPILFESL_PC1_20180214	CPILFESL_PC1_20180313	CPILFESL_PC1_20180411	CPILFESL_PC1_20180510	CPILFESL_PC1_20180612	CPILFESL_PC1_20180712	CPILFESL_PC1_20180810	CPILFESL_PC1_20180913	CPILFESL_PC1_20181011	CPILFESL_PC1_20181114	CPILFESL_PC1_20181212	CPILFESL_PC1_20190111	CPILFESL_PC1_20190211	CPILFESL_PC1_20190213	CPILFESL_PC1_20190312	CPILFESL_PC1_20190410	CPILFESL_PC1_20190510	CPILFESL_PC1_20190612	CPILFESL_PC1_20190711	CPILFESL_PC1_20190813	CPILFESL_PC1_20190912	CPILFESL_PC1_20191010	CPILFESL_PC1_20191113	CPILFESL_PC1_20191211	CPILFESL_PC1_20200114	CPILFESL_PC1_20200211	CPILFESL_PC1_20200213	CPILFESL_PC1_20200311	CPILFESL_PC1_20200410	CPILFESL_PC1_20200512	CPILFESL_PC1_20200610	CPILFESL_PC1_20200714	CPILFESL_PC1_20200812	CPILFESL_PC1_20200911	CPILFESL_PC1_20201013	CPILFESL_PC1_20201112	CPILFESL_PC1_20201210	CPILFESL_PC1_20210113	CPILFESL_PC1_20210208	CPILFESL_PC1_20210210
2011-04-01																																																																																																																																																																																						1.34021	1.34021	1.34021	1.34021	1.34021	1.34021	1.34021	1.34021	1.34021	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34390	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34189	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.34365	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.33818	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554	1.31554
2011-05-01																																																																																																																																																																																							1.51375	1.51375	1.51375	1.51375	1.51375	1.51375	1.51375	1.51375	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.51057	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50389	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50118	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.50071	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410	1.45410
2011-06-01																																																																																																																																																																																								1.63872	1.63872	1.63872	1.63872	1.63872	1.63872	1.63872	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62665	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62408	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.62118	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.61939	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368	1.58368
2011-07-01																																																																																																																																																																																									1.76298	1.76298	1.76298	1.76298	1.76298	1.76298	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.74951	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.75145	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74843	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74916	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148	1.74148
2011-08-01																																																																																																																																																																																										1.95001	1.95001	1.95001	1.95001	1.95001	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.93622	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.94084	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.93952	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.94665	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516	1.96516
2011-09-01																																																																																																																																																																																											1.97146	1.97146	1.97146	1.97146	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96916	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.96955	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97554	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.97464	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772	1.98772
2011-10-01																																																																																																																																																																																												2.09608	2.09608	2.09608	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.10371	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09918	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09992	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.09440	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792	2.10792
2011-11-01																																																																																																																																																																																													2.15123	2.15123	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15656	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.15606	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.16246	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.15801	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820	2.13820
2011-12-01																																																																																																																																																																																														2.23032	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23654	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23928	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.23899	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.24383	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666	2.27666
2012-01-01																																																																																																																																																																																																2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.27105	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28427	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28025	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.28645	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27376	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735	2.27735
2012-02-01																																																																																																																																																																																																	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17158	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17213	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17140	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17468	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.17281	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982	2.15982
2012-03-01																																																																																																																																																																																																		2.25017	2.25017	2.25017	2.25017	2.25017	2.25017	2.25017	2.25017	2.25017	2.25017	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25510	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25463	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25522	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.25371	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834	2.24834
2012-04-01																																																																																																																																																																																																			2.30813	2.30813	2.30813	2.30813	2.30813	2.30813	2.30813	2.30813	2.30813	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31219	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.31563	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.30855	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31890	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443	2.31443
2012-05-01																																																																																																																																																																																																				2.25732	2.25732	2.25732	2.25732	2.25732	2.25732	2.25732	2.25732	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.25317	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24700	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.24454	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25984	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226	2.25226
2012-06-01																																																																																																																																																																																																					2.22396	2.22396	2.22396	2.22396	2.22396	2.22396	2.22396	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21844	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21529	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.21376	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.22032	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229	2.19229
